doc_id,clause_text,statute_ref,extracted_value,statutory_limit,expected_verdict,math_check_result
Legal_Agreement_Batch_A_01.pdf,The company shall abide by Grievance Response Hours specifically set at 2.,IT Rules 2021,2,24,Compliant,Extracted (2) <= Statute (24)
Legal_Agreement_Batch_A_02.pdf,The company shall abide by Refund Processing Days specifically set at 13.,Consumer Protection Act,13,14,Compliant,Extracted (13) <= Statute (14)
Legal_Agreement_Batch_A_03.pdf,The company shall abide by Refund Processing Days specifically set at 9.,Consumer Protection Act,9,14,Compliant,Extracted (9) <= Statute (14)
Legal_Agreement_Batch_A_04.pdf,The company shall abide by FDI Reporting Days specifically set at 2.,FEMA Guidelines,2,30,Compliant,Extracted (2) <= Statute (30)
Legal_Agreement_Batch_A_05.pdf,The company shall abide by Payment Data Storage Verification Days specifically set at 125.,RBI Data Localization,125,180,Compliant,Extracted (125) <= Statute (180)
Legal_Agreement_Batch_A_06.pdf,The company shall abide by Data Retention Days specifically set at 45.,DPDP Act Section 8,45,45,Compliant,Extracted (45) <= Statute (45)
Legal_Agreement_Batch_A_07.pdf,The company shall abide by Board Report Submission Days specifically set at 6.,Companies Act Section 134,6,30,Compliant,Extracted (6) <= Statute (30)
Legal_Agreement_Batch_A_08.pdf,The company shall abide by Grievance Response Hours specifically set at 22.,IT Rules 2021,22,24,Compliant,Extracted (22) <= Statute (24)
Legal_Agreement_Batch_A_09.pdf,The company shall abide by Board Report Submission Days specifically set at 18.,Companies Act Section 134,18,30,Compliant,Extracted (18) <= Statute (30)
Legal_Agreement_Batch_A_10.pdf,The company shall abide by FDI Reporting Days specifically set at 8.,FEMA Guidelines,8,30,Compliant,Extracted (8) <= Statute (30)
Legal_Agreement_Batch_A_11.pdf,The company shall abide by FDI Reporting Days specifically set at 17.,FEMA Guidelines,17,30,Compliant,Extracted (17) <= Statute (30)
Legal_Agreement_Batch_A_12.pdf,The company shall abide by FDI Reporting Days specifically set at 11.,FEMA Guidelines,11,30,Compliant,Extracted (11) <= Statute (30)
Legal_Agreement_Batch_A_13.pdf,The company shall abide by Data Retention Days specifically set at 23.,DPDP Act Section 8,23,45,Compliant,Extracted (23) <= Statute (45)
Legal_Agreement_Batch_A_14.pdf,The company shall abide by Data Retention Days specifically set at 20.,DPDP Act Section 8,20,45,Compliant,Extracted (20) <= Statute (45)
Legal_Agreement_Batch_A_15.pdf,The company shall abide by Refund Processing Days specifically set at 9.,Consumer Protection Act,9,14,Compliant,Extracted (9) <= Statute (14)
Legal_Agreement_Batch_A_16.pdf,The company shall abide by FDI Reporting Days specifically set at 7.,FEMA Guidelines,7,30,Compliant,Extracted (7) <= Statute (30)
Legal_Agreement_Batch_A_17.pdf,The company shall abide by FDI Reporting Days specifically set at 16.,FEMA Guidelines,16,30,Compliant,Extracted (16) <= Statute (30)
Legal_Agreement_Batch_A_18.pdf,The company shall abide by Payment Data Storage Verification Days specifically set at 58.,RBI Data Localization,58,180,Compliant,Extracted (58) <= Statute (180)
Legal_Agreement_Batch_B_01.pdf,The Refund Processing Days is agreed by both parties to be 91.,Consumer Protection Act,91,14,Non-Compliant,Extracted (91) > Statute (14)
Legal_Agreement_Batch_B_02.pdf,The Payment Data Storage Verification Days is agreed by both parties to be 187.,RBI Data Localization,187,180,Non-Compliant,Extracted (187) > Statute (180)
Legal_Agreement_Batch_B_03.pdf,The Payment Data Storage Verification Days is agreed by both parties to be 253.,RBI Data Localization,253,180,Non-Compliant,Extracted (253) > Statute (180)
Legal_Agreement_Batch_B_04.pdf,The Data Retention Days is agreed by both parties to be 108.,DPDP Act Section 8,108,45,Non-Compliant,Extracted (108) > Statute (45)
Legal_Agreement_Batch_B_05.pdf,The Data Retention Days is agreed by both parties to be 129.,DPDP Act Section 8,129,45,Non-Compliant,Extracted (129) > Statute (45)
Legal_Agreement_Batch_B_06.pdf,The FDI Reporting Days is agreed by both parties to be 75.,FEMA Guidelines,75,30,Non-Compliant,Extracted (75) > Statute (30)
Legal_Agreement_Batch_B_07.pdf,The Board Report Submission Days is agreed by both parties to be 42.,Companies Act Section 134,42,30,Non-Compliant,Extracted (42) > Statute (30)
Legal_Agreement_Batch_B_08.pdf,The FDI Reporting Days is agreed by both parties to be 52.,FEMA Guidelines,52,30,Non-Compliant,Extracted (52) > Statute (30)
Legal_Agreement_Batch_B_09.pdf,The Data Retention Days is agreed by both parties to be 97.,DPDP Act Section 8,97,45,Non-Compliant,Extracted (97) > Statute (45)
Legal_Agreement_Batch_B_10.pdf,The Payment Data Storage Verification Days is agreed by both parties to be 181.,RBI Data Localization,181,180,Non-Compliant,Extracted (181) > Statute (180)
Legal_Agreement_Batch_B_11.pdf,The Grievance Response Hours is agreed by both parties to be 32.,IT Rules 2021,32,24,Non-Compliant,Extracted (32) > Statute (24)
Legal_Agreement_Batch_B_12.pdf,The Payment Data Storage Verification Days is agreed by both parties to be 212.,RBI Data Localization,212,180,Non-Compliant,Extracted (212) > Statute (180)
Legal_Agreement_Batch_B_13.pdf,The Payment Data Storage Verification Days is agreed by both parties to be 226.,RBI Data Localization,226,180,Non-Compliant,Extracted (226) > Statute (180)
Legal_Agreement_Batch_B_14.pdf,The Board Report Submission Days is agreed by both parties to be 45.,Companies Act Section 134,45,30,Non-Compliant,Extracted (45) > Statute (30)
Legal_Agreement_Batch_B_15.pdf,The Data Retention Days is agreed by both parties to be 63.,DPDP Act Section 8,63,45,Non-Compliant,Extracted (63) > Statute (45)
Legal_Agreement_Batch_B_16.pdf,The Refund Processing Days is agreed by both parties to be 47.,Consumer Protection Act,47,14,Non-Compliant,Extracted (47) > Statute (14)
Legal_Agreement_Batch_B_17.pdf,The Refund Processing Days is agreed by both parties to be 88.,Consumer Protection Act,88,14,Non-Compliant,Extracted (88) > Statute (14)
Legal_Agreement_Batch_B_18.pdf,The Refund Processing Days is agreed by both parties to be 36.,Consumer Protection Act,36,14,Non-Compliant,Extracted (36) > Statute (14)
